day,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-03-01,341,12721.000,-398.200,-46.500,12276.300,1349.960,18.590,13644.850
2017-03-02,324,11998.000,-359.700,-225.550,11412.750,1018.580,21.150,12452.480
2017-03-03,304,11612.000,-392.000,-78.000,11142.000,949.340,37.760,12129.100
2017-03-04,298,10485.000,-309.250,0.000,10175.750,975.000,25.640,11176.390
2017-03-05,343,13220.000,-344.250,-237.000,12638.750,1375.790,23.680,14038.220
2017-03-06,322,12299.000,-478.250,-460.000,11360.750,1119.660,54.050,12534.460
2017-03-07,413,16007.000,-985.450,-163.000,14858.550,1349.220,66.910,16274.680
2017-03-08,397,15307.000,-934.100,-30.000,14342.900,1327.550,360.420,16030.870
2017-03-09,443,18026.000,-2060.750,-349.220,15616.030,1355.350,399.170,17370.550
2017-03-10,350,12523.000,-883.300,-359.660,11280.040,1024.340,203.630,12508.010
2017-03-11,310,11590.000,-368.550,0.000,11221.450,1047.800,71.650,12340.900
2017-03-12,278,10149.000,-261.150,-42.000,9845.850,927.710,44.080,10817.640
2017-03-13,272,11051.000,-378.900,-108.200,10563.900,952.530,109.330,11625.760
2017-03-14,375,13662.000,-521.500,-275.000,12865.500,1112.200,109.690,14087.390
2017-03-15,298,11612.000,-305.100,-153.000,11153.900,1017.560,68.180,12239.640
2017-03-16,289,9947.000,-214.250,-102.000,9630.750,1083.530,34.290,10748.570
2017-03-17,277,10494.000,-290.950,-446.900,9756.150,1066.510,30.670,10853.330
2017-03-18,216,8135.000,-166.500,-52.000,7916.500,848.900,73.380,8838.780
2017-03-19,310,10680.000,-245.950,-110.000,10324.050,1039.890,49.240,11413.180
2017-03-20,262,9159.000,-219.100,-129.000,8810.900,779.590,34.270,9624.760
2017-03-21,311,11832.000,-382.950,-215.000,11234.050,1009.740,59.350,12303.140
2017-03-22,581,20067.000,-1065.900,-41.600,18959.500,2000.930,133.920,21094.350
2017-03-23,436,14937.000,-394.600,-200.500,14341.900,1578.470,43.160,15963.530
2017-03-24,387,14875.000,-417.200,-74.400,14383.400,1427.490,51.270,15862.160
2017-03-25,374,13155.000,-250.850,0.000,12904.150,1419.520,75.350,14399.020
2017-03-26,352,12915.000,-264.350,-19.000,12631.650,1225.500,95.080,13952.230
2017-03-27,458,16579.000,-388.050,-338.740,15852.210,1561.570,82.350,17496.130
2017-03-28,406,15501.000,-592.000,-177.300,14731.700,1405.840,59.660,16197.200
2017-03-29,316,13274.000,-307.800,-430.150,12536.050,1116.580,41.880,13694.510
2017-03-30,331,12324.000,-316.000,-136.430,11871.570,1088.170,46.940,13006.680
2017-03-31,332,13217.000,-349.950,-60.000,12807.050,1084.930,66.710,13958.690
2017-04-01,343,12630.000,-338.500,0.000,12291.500,1120.310,65.970,13477.780
2017-04-02,362,15420.000,-311.700,-193.000,14915.300,1358.680,79.300,16353.280
2017-04-03,342,12562.000,-389.100,-241.250,11931.650,1333.460,31.530,13296.640
2017-04-04,485,17301.000,-908.300,-343.700,16049.000,1682.480,12.110,17743.590
2017-04-05,340,12742.000,-455.550,-511.240,11775.210,1205.600,35.470,13016.280
2017-04-06,331,12480.000,-354.450,-557.000,11568.550,1015.440,71.530,12655.520
2017-04-07,333,12290.000,-333.250,-158.700,11798.050,1126.410,33.360,12957.820
2017-04-08,308,12516.000,-278.800,0.000,12237.200,1199.640,14.890,13451.730
2017-04-09,308,11238.000,-197.750,-36.800,11003.450,1133.080,71.920,12208.450
2017-04-10,323,11954.000,-386.950,-114.000,11453.050,1204.700,59.070,12716.820
2017-04-11,379,13287.000,-423.550,-263.000,12600.450,1340.020,49.270,13989.740
2017-04-12,304,11057.000,-442.600,-324.000,10290.400,1062.520,70.340,11423.260
2017-04-13,298,12000.000,-351.000,-356.000,11293.000,1013.810,43.120,12349.930
2017-04-14,362,12867.000,-869.050,0.000,11997.950,1210.590,78.870,13287.410
2017-04-15,295,11524.000,-396.500,-108.200,11019.300,808.360,58.050,11885.710
2017-04-16,292,10328.000,-259.250,0.000,10068.750,884.950,23.140,10976.840
2017-04-17,314,11345.000,-333.850,-259.150,10752.000,959.910,11.530,11723.440
2017-04-18,328,11636.000,-318.550,-225.050,11092.400,1028.210,58.900,12179.510
2017-04-19,338,13162.000,-345.750,-444.100,12372.150,1076.680,46.890,13495.720
2017-04-20,570,22741.000,-2215.350,-748.720,19776.930,1723.720,113.190,21613.840
2017-04-21,430,16814.000,-747.600,-81.200,15985.200,1139.800,46.930,17171.930
2017-04-22,335,13192.000,-344.950,-102.650,12744.400,894.350,23.490,13662.240
2017-04-23,398,14655.000,-243.050,0.000,14411.950,1136.320,77.810,15626.080
2017-04-24,403,15418.000,-479.300,-219.000,14719.700,1153.400,45.910,15919.010
2017-04-25,378,13943.000,-526.450,-101.000,13315.550,1236.720,71.240,14623.510
2017-04-26,361,13364.000,-865.400,-95.600,12403.000,1161.450,68.240,13632.690
2017-04-27,382,14571.000,-559.750,-296.300,13714.950,1180.970,55.120,14951.040
2017-04-28,309,11901.000,-319.550,-228.000,11353.450,955.730,38.880,12348.060
2017-04-29,378,14524.000,-511.800,-103.000,13909.200,1166.940,30.590,15106.730
2017-04-30,367,14329.000,-514.550,0.000,13814.450,1095.860,40.520,14950.830
2017-05-01,363,12066.000,-269.500,-261.350,11535.150,1279.860,35.360,12850.370
2017-05-02,334,12590.000,-328.800,-185.000,12076.200,1232.930,14.840,13323.970
2017-05-03,328,12866.000,-517.250,-82.400,12266.350,1018.400,49.330,13334.080
2017-05-04,321,14243.000,-378.850,-171.100,13693.050,1085.410,70.630,14849.090
2017-05-05,265,9677.000,-288.200,-101.000,9287.800,866.930,88.060,10242.790
2017-05-06,240,9099.000,-172.500,-138.000,8788.500,760.770,13.110,9562.380
2017-05-07,251,9849.000,-322.050,-91.000,9435.950,850.830,35.710,10322.490
2017-05-08,302,11010.000,-241.350,-144.000,10624.650,1034.850,92.610,11752.110
2017-05-09,370,13965.000,-592.350,-256.800,13115.850,1321.640,24.890,14462.380
2017-05-10,269,9901.000,-297.350,-128.000,9475.650,986.540,45.110,10507.300
2017-05-11,294,11038.000,-269.150,-82.000,10686.850,1033.880,57.140,11777.870
2017-05-12,241,8492.000,-276.100,-86.000,8129.900,787.520,27.310,8944.730
2017-05-13,240,9584.000,-252.950,0.000,9331.050,835.240,48.770,10215.060
2017-05-14,261,10974.000,-253.200,-145.000,10575.800,981.210,27.590,11584.600
2017-05-15,277,10927.000,-277.250,-191.000,10458.750,998.780,53.800,11511.330
2017-05-16,241,8625.000,-253.750,-248.850,8122.400,1011.320,14.190,9147.910
2017-05-17,354,13111.000,-443.350,-192.000,12475.650,1135.490,70.620,13681.760
2017-05-18,304,11297.000,-317.750,-158.000,10821.250,1090.270,50.350,11961.870
2017-05-19,247,9325.000,-200.450,-23.000,9101.550,974.620,56.420,10132.590
2017-05-20,235,8863.000,-260.300,-41.800,8560.900,892.620,62.380,9515.900
2017-05-21,245,9107.000,-209.750,-19.000,8878.250,954.890,12.720,9845.860
2017-05-22,262,10347.000,-366.550,-307.850,9672.600,1075.710,45.610,10793.920
2017-05-23,301,12840.000,-228.950,-295.200,12315.850,988.040,104.810,13408.700
2017-05-24,690,30582.000,-4740.350,-299.300,25542.350,1947.870,197.440,27687.660
2017-05-25,340,14796.000,-1410.600,-402.000,12983.400,1241.610,58.860,14283.870
2017-05-26,324,13803.000,-520.500,-85.000,13197.500,1088.770,80.650,14366.920
2017-05-27,275,10731.000,-317.650,-105.750,10307.600,938.600,75.650,11321.850
2017-05-28,252,9580.000,-263.200,-191.000,9125.800,1006.770,67.550,10200.120
2017-05-29,357,14614.000,-1111.400,-310.050,13192.550,1251.460,74.610,14518.620
2017-05-30,284,10727.000,-525.050,-378.900,9823.050,1017.750,50.850,10891.650
2017-05-31,322,12669.000,-595.550,-190.750,11882.700,1219.040,52.970,13154.710
2017-06-01,261,10348.000,-261.900,-224.000,9862.100,967.920,63.240,10893.260
2017-06-02,258,9766.000,-303.950,-62.000,9400.050,1098.500,15.910,10514.460
2017-06-03,242,9698.000,-303.400,0.000,9394.600,989.630,44.400,10428.630
2017-06-04,253,9168.000,-191.900,-87.000,8889.100,1146.670,11.410,10047.180
2017-06-05,292,10540.000,-290.750,-303.500,9945.750,1102.930,68.580,11117.260
2017-06-06,250,9258.000,-211.900,-230.700,8815.400,880.100,70.400,9765.900
2017-06-07,299,12678.000,-327.750,-153.650,12196.600,1194.000,75.080,13465.680
2017-06-08,292,11566.000,-283.600,-108.750,11173.650,1229.390,43.480,12446.520
2017-06-09,292,11411.000,-293.200,-224.000,10893.800,1193.630,69.480,12156.910
2017-06-10,267,10615.000,-246.250,0.000,10368.750,1195.000,63.550,11627.300
2017-06-11,278,10976.000,-273.900,-40.000,10662.100,1338.210,47.380,12047.690
2017-06-12,298,12851.000,-309.700,-269.000,12272.300,1365.670,68.670,13706.640
2017-06-13,315,12301.000,-319.150,-455.600,11526.250,1281.950,69.800,12878.000
2017-06-14,337,12348.000,-204.750,-112.000,12031.250,1364.950,82.980,13479.180
2017-06-15,307,15163.000,-311.000,-243.750,14608.250,1339.640,106.900,16054.790
2017-06-16,376,15316.000,-470.950,-17.250,14827.800,1497.380,155.600,16480.780
2017-06-17,260,10709.000,-375.450,-25.500,10308.050,1106.530,108.680,11523.260
2017-06-18,260,10563.000,-344.400,0.000,10218.600,1013.770,39.270,11271.640
2017-06-19,280,10969.000,-783.800,-279.750,9905.450,1135.620,69.930,11111.000
2017-06-20,338,13325.000,-295.000,-124.000,12906.000,1380.740,173.610,14460.350
2017-06-21,608,22141.000,-498.050,-464.000,21178.950,1293.330,244.220,22716.500
2017-06-22,474,17408.000,-354.250,-398.000,16655.750,1543.890,217.200,18416.840
2017-06-23,419,15243.000,-294.100,-73.150,14875.750,1543.900,213.030,16632.680
2017-06-24,368,13824.000,-379.200,0.000,13444.800,1526.730,211.410,15182.940
2017-06-25,417,16303.000,-332.750,-58.000,15912.250,1724.590,243.780,17880.620
2017-06-26,388,15691.000,-642.200,-536.200,14512.600,1605.310,133.250,16251.160
2017-06-27,347,15232.000,-324.600,-332.500,14574.900,1535.860,270.070,16380.830
2017-06-28,486,19372.000,-1188.100,-219.550,17964.350,2102.050,252.380,20318.780
2017-06-29,284,11319.000,-491.800,-104.000,10723.200,1115.920,150.360,11989.480
2017-06-30,337,13354.000,-472.700,-208.000,12673.300,1289.080,161.320,14123.700
2017-07-01,379,14614.000,-336.250,-55.000,14222.750,1735.260,113.410,16071.420
2017-07-02,330,12463.000,-270.900,-64.600,12127.500,1436.240,111.260,13675.000
2017-07-03,354,13990.000,-192.050,0.000,13797.950,1662.420,141.970,15602.340
2017-07-04,311,13063.000,-236.800,-128.000,12698.200,1366.470,197.820,14262.490
2017-07-05,405,16017.000,-440.450,-157.700,15418.850,1571.300,274.740,17264.890
2017-07-06,388,15350.000,-363.100,-86.000,14900.900,1349.670,182.240,16432.810
2017-07-07,408,16862.000,-459.500,-145.400,16257.100,1387.260,171.830,17816.190
2017-07-08,357,14257.000,-367.500,0.000,13889.500,1482.360,161.410,15533.270
2017-07-09,353,14481.000,-319.600,0.000,14161.400,1485.190,231.080,15877.670
2017-07-10,369,14773.000,-315.450,-160.560,14296.990,1472.160,204.870,15974.020
2017-07-11,1070,46594.000,-10802.250,-210.200,35581.550,3695.860,481.850,39759.260
2017-07-12,569,24240.000,-3065.100,-157.450,21017.450,2356.870,284.790,23659.110
2017-07-13,353,14176.000,-376.450,-388.890,13410.660,1253.240,254.140,14918.040
2017-07-14,367,14296.000,-328.100,-350.050,13617.850,1245.500,219.190,15082.540
2017-07-15,323,13002.000,-308.300,-165.400,12528.300,1205.680,166.310,13900.290
2017-07-16,288,10733.000,-242.050,-79.300,10411.650,1234.310,137.440,11783.400
2017-07-17,316,12565.000,-373.150,-30.000,12161.850,1155.320,147.500,13464.670
2017-07-18,429,17575.000,-433.600,-331.900,16809.500,1615.040,247.400,18671.940
2017-07-19,497,19431.000,-685.800,-619.600,18125.600,1728.540,243.830,20097.970
2017-07-20,454,17919.000,-425.200,-401.400,17092.400,1512.720,250.910,18856.030
2017-07-21,491,18803.000,-370.800,-153.000,18279.200,1697.620,233.920,20210.740
2017-07-22,334,13838.000,-252.300,-57.250,13528.450,1261.680,150.140,14940.270
2017-07-23,335,12900.000,-246.250,0.000,12653.750,1391.060,150.230,14195.040
2017-07-24,422,15148.000,-292.000,-438.100,14417.900,1511.350,179.630,16108.880
2017-07-25,416,16816.000,-411.800,-18.000,16386.200,1417.000,211.220,18014.420
2017-07-26,489,19685.000,-462.650,-144.000,19078.350,1778.240,283.550,21140.140
2017-07-27,379,14493.000,-437.650,-137.000,13918.350,1555.000,133.380,15606.730
2017-07-28,329,12610.000,-288.150,-95.000,12226.850,1300.680,110.920,13638.450
2017-07-29,325,12408.000,-311.450,-44.000,12052.550,1101.140,149.710,13303.400
2017-07-30,388,14112.000,-309.450,0.000,13802.550,1530.780,114.790,15448.120
2017-07-31,407,16648.000,-499.400,-521.650,15626.950,1651.050,187.460,17465.460
